ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2887828,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,10,Victoria Point,76
2887829,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,12,New Quay,462
2887830,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,11,Waterfront City,109
2887831,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,8,Webb Bridge,132
2887832,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,7,Birrarung Marr,239
2887833,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,5,Princes Bridge,2739
2887834,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,6,Flinders Street Station Underpass,2006
2887835,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,14,Sandridge Bridge,13
2887836,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,26,QV Market-Elizabeth St (West),537
2887837,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,24,Spencer St-Collins St (North),1054
2887838,11/01/2019 09:00:00 PM,2019,November,1,Friday,21,23,Spencer St-Collins St (South),229
